id,name,cat_id,category,sub_cat_id,subcategory,four_letter,letter_1,letter_2,letter_3,letter_4,birth_date
73860,Masahiro Tanaka,5,Sports,11,Baseball,ISFP,I,S,F,P,
95998,Buster Posey,5,Sports,11,Baseball,ISFJ,I,S,F,J,1987-03-27
10142,Willie Mays,5,Sports,11,Baseball,ISTP,I,S,T,P,1931-05-06
65939,Javier Báez,5,Sports,11,Baseball,ESTP,E,S,T,P,
67805,Chris Sale,5,Sports,11,Baseball,ISFJ,I,S,F,J,1989-03-30
70279,Ronald Acuña Jr.,5,Sports,11,Baseball,ESFP,E,S,F,P,1997-12-18
71079,Christian Yelich,5,Sports,11,Baseball,ESFP,E,S,F,P,1991-12-05
96166,Sammy Sosa,5,Sports,11,Baseball,ESFP,E,S,F,P,1968-11-12
110967,Kenta Maeda,5,Sports,11,Baseball,ISTP,I,S,T,P,1988-04-11
111888,Hyun-Jin Ryu,5,Sports,11,Baseball,ISFP,I,S,F,P,1987-03-25
434727,Billy Beane,5,Sports,11,Baseball,ENTP,E,N,T,P,1962-03-29
57004,Madison Bumgarner,5,Sports,11,Baseball,ISTP,I,S,T,P,1989-08-01
57357,Nolan Ryan,5,Sports,11,Baseball,ESTJ,E,S,T,J,1947-01-31
64835,Lou Piniella,5,Sports,11,Baseball,ESTJ,E,S,T,J,1943-08-28
64987,Roger Clemens,5,Sports,11,Baseball,ESTP,E,S,T,P,1962-08-04
65044,Gerrit Cole,5,Sports,11,Baseball,ISTP,I,S,T,P,1990-09-08
65850,Mickey Mantle,5,Sports,11,Baseball,ESTP,E,S,T,P,1931-10-20
70983,Anthony Rendón,5,Sports,11,Baseball,ISTP,I,S,T,P,1968-03-04
71078,George Brett,5,Sports,11,Baseball,ESTJ,E,S,T,J,1843-09-16
73151,Pete Rose,5,Sports,11,Baseball,ESTJ,E,S,T,J,1941-04-14
74339,A.J. Pierzynski,5,Sports,11,Baseball,ESTJ,E,S,T,J,1976-12-30
93199,Trea Turner,5,Sports,11,Baseball,ISFP,I,S,F,P,1993-06-30
107332,D.J. LeMahieu,5,Sports,11,Baseball,ISTJ,I,S,T,J,1988-07-13
108682,Curtis Granderson,5,Sports,11,Baseball,ENFJ,E,N,F,J,1981-03-16
115830,R.A. Dickey,5,Sports,11,Baseball,INTP,I,N,T,P,1974-10-29
166957,Dansby Swanson,5,Sports,11,Baseball,ESFP,E,S,F,P,
172449,"Leroy ""Satchel"" Paige",5,Sports,11,Baseball,ESTP,E,S,T,P,1906-07-07
206718,Ross Stripling,5,Sports,11,Baseball,ENFJ,E,N,F,J,1989-11-23
415493,Lenny Dykstra,5,Sports,11,Baseball,ESTP,E,S,T,P,1963-02-10
8845,Justin Verlander,5,Sports,11,Baseball,ESFJ,E,S,F,J,1983-02-20
57106,Mookie Betts,5,Sports,11,Baseball,ESFP,E,S,F,P,1992-10-07
61999,Josh Beckett,5,Sports,11,Baseball,ESTJ,E,S,T,J,1980-05-15
62006,Didi Gregorius,5,Sports,11,Baseball,ESFP,E,S,F,P,1990-02-18
62019,J.D. Martinez,5,Sports,11,Baseball,ISTJ,I,S,T,J,1987-08-21
62399,Chad Curtis,5,Sports,11,Baseball,ESTP,E,S,T,P,
63320,Rickey Henderson,5,Sports,11,Baseball,ESFP,E,S,F,P,1958-12-25
63437,Josh Hamilton,5,Sports,11,Baseball,ISFP,I,S,F,P,1969-06-09
63443,Freddie Freeman,5,Sports,11,Baseball,ISFJ,I,S,F,J,1989-09-12
64926,Brett Gardner,5,Sports,11,Baseball,ISTJ,I,S,T,J,
64927,Billy Martin,5,Sports,11,Baseball,ESTJ,E,S,T,J,
68357,Joey Votto,5,Sports,11,Baseball,ISFP,I,S,F,P,1983-09-10
68547,Anthony Rizzo,5,Sports,11,Baseball,ESFJ,E,S,F,J,1989-08-08
68966,David Price,5,Sports,11,Baseball,ISFP,I,S,F,P,1940-08-17
70911,Dustin Pedroia,5,Sports,11,Baseball,ESTP,E,S,T,P,1983-08-17
70912,Charlie Manuel,5,Sports,11,Baseball,ESTJ,E,S,T,J,1944-01-04
70957,Russell Martin,5,Sports,11,Baseball,ISTP,I,S,T,P,1986-01-04
70958,Joe Kelly,5,Sports,11,Baseball,ESTP,E,S,T,P,1971-09-01
70964,Darryl Strawberry,5,Sports,11,Baseball,ESFJ,E,S,F,J,1962-03-12
70982,Hunter Pence,5,Sports,11,Baseball,ENFP,E,N,F,P,1983-04-13
71069,Carlos Beltrán,5,Sports,11,Baseball,ISTJ,I,S,T,J,1977-04-24
71840,Adrián Beltré,5,Sports,11,Baseball,ESFP,E,S,F,P,1979-04-07
72268,Jim Leyland,5,Sports,11,Baseball,ISTJ,I,S,T,J,1944-12-15
73142,Carlos Gomez,5,Sports,11,Baseball,ESFP,E,S,F,P,
73216,Mark Teixeira,5,Sports,11,Baseball,ESTJ,E,S,T,J,1980-04-11
73323,John Smoltz,5,Sports,11,Baseball,ESTJ,E,S,T,J,1967-05-15
74293,Corey Kluber,5,Sports,11,Baseball,ISTJ,I,S,T,J,1986-04-10
74342,"Daisuke ""Dice-K"" Matsuzaka",5,Sports,11,Baseball,ESFP,E,S,F,P,
77283,Tommy Lasorda,5,Sports,11,Baseball,ESFJ,E,S,F,J,1927-09-22
77326,Alex Bregman,5,Sports,11,Baseball,ESFJ,E,S,F,J,1994-03-30
78204,Nick Swisher,5,Sports,11,Baseball,ESFP,E,S,F,P,1980-11-25
96164,Albert Belle,5,Sports,11,Baseball,ESTJ,E,S,T,J,1966-08-25
98015,Corey Seager,5,Sports,11,Baseball,ISFP,I,S,F,P,1994-04-27
109329,Charlie Blackmon,5,Sports,11,Baseball,INFP,I,N,F,P,1986-07-01
113715,Alfonso Soriano,5,Sports,11,Baseball,ISFP,I,S,F,P,1976-01-07
122440,Blake Snell,5,Sports,11,Baseball,ISFP,I,S,F,P,1992-12-04
127444,Al Leiter,5,Sports,11,Baseball,ESFP,E,S,F,P,1965-10-23
154785,Steve Stone,5,Sports,11,Baseball,INTP,I,N,T,P,1964-03-19
155755,Derek Lowe,5,Sports,11,Baseball,ISFP,I,S,F,P,
155880,Luis Castillo,5,Sports,11,Baseball,ESFP,E,S,F,P,
156015,Jake Arrieta,5,Sports,11,Baseball,ISTJ,I,S,T,J,1986-03-06
158505,David Justice,5,Sports,11,Baseball,ESFP,E,S,F,P,1966-04-14
162793,Kenley Jansen,5,Sports,11,Baseball,ISTP,I,S,T,P,1987-09-30
164838,J.T. Realmuto,5,Sports,11,Baseball,ISTJ,I,S,T,J,1991-03-18
169851,Jason Heyward,5,Sports,11,Baseball,ISFJ,I,S,F,J,1989-08-09
171538,Kyle Schwarber,5,Sports,11,Baseball,ISFJ,I,S,F,J,1993-03-05
174186,John Olerud,5,Sports,11,Baseball,INFP,I,N,F,P,1968-08-05
175820,Alex Verdugo,5,Sports,11,Baseball,ISFP,I,S,F,P,1996-05-15
180225,Jon Rauch,5,Sports,11,Baseball,ISTP,I,S,T,P,1978-09-27
194316,Brett Phillips,5,Sports,11,Baseball,ESFP,E,S,F,P,2000-01-01
208020,Brandon Lowe,5,Sports,11,Baseball,ISFP,I,S,F,P,1994-07-06
224380,Barry Zito,5,Sports,11,Baseball,INFP,I,N,F,P,1978-05-13
349281,Adam Frazier,5,Sports,11,Baseball,ISTJ,I,S,T,J,1991-12-14
420685,Kevin Cash,5,Sports,11,Baseball,ESTJ,E,S,T,J,
481653,Seiya Suzuki,5,Sports,11,Baseball,ESTP,E,S,T,P,
518129,Jeremy Peña,5,Sports,11,Baseball,ESFP,E,S,F,P,1997-09-22
18407,Kirk Gibson,5,Sports,11,Baseball,ISTP,I,S,T,P,1957-05-28
57638,Ryan Braun,5,Sports,11,Baseball,ESFJ,E,S,F,J,1983-11-17
62002,Terry Francona,5,Sports,11,Baseball,INTJ,I,N,T,J,1959-04-22
62005,Gary Sanchez,5,Sports,11,Baseball,ISTP,I,S,T,P,
62017,Jason Varitek,5,Sports,11,Baseball,ISTJ,I,S,T,J,1972-04-11
63280,Pete Alonso,5,Sports,11,Baseball,ESFP,E,S,F,P,1994-12-07
63281,David Wright,5,Sports,11,Baseball,ISFJ,I,S,F,J,1966-12-22
64828,Félix Hernández,5,Sports,11,Baseball,ISFP,I,S,F,P,
64830,Andy Pettitte,5,Sports,11,Baseball,ISTJ,I,S,T,J,1972-06-15
64833,Jorge Posada,5,Sports,11,Baseball,ESFJ,E,S,F,J,1970-08-17
64928,Kris Bryant,5,Sports,11,Baseball,ESFJ,E,S,F,J,1992-01-04
65134,Reggie Jackson,5,Sports,11,Baseball,ESFP,E,S,F,P,1990-04-16
65400,Evan Longoria,5,Sports,11,Baseball,ESFP,E,S,F,P,1985-10-07
65486,José Bautista,5,Sports,11,Baseball,ESTJ,E,S,T,J,1980-10-19
65825,Dusty Baker,5,Sports,11,Baseball,ESFJ,E,S,F,J,1949-06-15
65826,Dave Roberts,5,Sports,11,Baseball,ESFJ,E,S,F,J,1950-01-01
65847,Walter Johnson,5,Sports,11,Baseball,ISFJ,I,S,F,J,1887-11-06
65848,Lou Gehrig,5,Sports,11,Baseball,ISFJ,I,S,F,J,1903-06-19
66560,Stephen Strasburg,5,Sports,11,Baseball,ISFP,I,S,F,P,1988-07-20
67734,Hank Aaron,5,Sports,11,Baseball,ISFJ,I,S,F,J,1934-02-05
68410,Joe Torre,5,Sports,11,Baseball,INTJ,I,N,T,J,1940-07-18
68863,Matt Kemp,5,Sports,11,Baseball,ESFP,E,S,F,P,1984-09-23
70067,Kevin Youkilis,5,Sports,11,Baseball,ESTJ,E,S,T,J,1979-03-15
70908,Gleyber Torres,5,Sports,11,Baseball,ESFP,E,S,F,P,1996-12-13
70914,Carlos Quentin,5,Sports,11,Baseball,ESTJ,E,S,T,J,1982-08-28
70956,Clint Frazier,5,Sports,11,Baseball,ESFP,E,S,F,P,1994-09-06
70959,Justin Morneau,5,Sports,11,Baseball,ISTJ,I,S,T,J,1981-05-15
70960,Michael Cuddyer,5,Sports,11,Baseball,ISTJ,I,S,T,J,1979-03-27
70963,Don Zimmer,5,Sports,11,Baseball,ESTJ,E,S,T,J,1931-01-17
71070,Roberto Clemente,5,Sports,11,Baseball,ISFP,I,S,F,P,1934-08-18
71539,Bartolo Colón,5,Sports,11,Baseball,ISFP,I,S,F,P,1973-05-24
73141,Grant Balfour,5,Sports,11,Baseball,ESTJ,E,S,T,J,1977-12-30
73153,Victor Martinez,5,Sports,11,Baseball,ISTJ,I,S,T,J,1973-07-29
73154,Craig Kimbrel,5,Sports,11,Baseball,ENTP,E,N,T,P,1988-05-28
73169,Wally Backman,5,Sports,11,Baseball,ESFP,E,S,F,P,1959-09-22
73333,Rougned Odor,5,Sports,11,Baseball,ESFP,E,S,F,P,1994-02-03
73338,Jayson Werth,5,Sports,11,Baseball,ESFJ,E,S,F,J,1979-05-20
73346,Lance Berkman,5,Sports,11,Baseball,ENFP,E,N,F,P,1976-02-10
73604,Chase Utley,5,Sports,11,Baseball,ISTJ,I,S,T,J,1978-12-17
73616,Francisco Lindor,5,Sports,11,Baseball,ISFJ,I,S,F,J,1993-11-14
73804,Bernie Williams,5,Sports,11,Baseball,ESFJ,E,S,F,J,1968-09-13
73817,Carl Yastremzski,5,Sports,11,Baseball,ISTJ,I,S,T,J,
73821,Cal Ripken Jr.,5,Sports,11,Baseball,ISTJ,I,S,T,J,1960-08-24
74324,Dallas Keuchel,5,Sports,11,Baseball,ESTP,E,S,T,P,1988-01-01
74326,Cy Young,5,Sports,11,Baseball,ISTJ,I,S,T,J,1867-03-29
74334,J.A. Happ,5,Sports,11,Baseball,ISTJ,I,S,T,J,1982-10-19
74337,Dennis Eckersley,5,Sports,11,Baseball,ESTP,E,S,T,P,1954-10-03
74344,Harold Reynolds,5,Sports,11,Baseball,ESFJ,E,S,F,J,1960-11-26
74352,Kerry Wood,5,Sports,11,Baseball,ESTJ,E,S,T,J,1977-06-16
74645,Bob Gibson,5,Sports,11,Baseball,ISTJ,I,S,T,J,1935-11-09
75884,Johnny Cueto,5,Sports,11,Baseball,ENTP,E,N,T,P,1986-02-15
75898,Salvador Perez,5,Sports,11,Baseball,ESFJ,E,S,F,J,
76273,Eric Hosmer,5,Sports,11,Baseball,ESFJ,E,S,F,J,1989-10-24
77903,Blaze Jordan,5,Sports,11,Baseball,ESTJ,E,S,T,J,2002-12-19
83570,Ryne Sandberg,5,Sports,11,Baseball,ISTJ,I,S,T,J,1959-09-18
85869,Ned Yost,5,Sports,11,Baseball,ISTJ,I,S,T,J,1954-08-19
86095,Whit Merrifield,5,Sports,11,Baseball,ISTP,I,S,T,P,1989-01-24
86211,A.J. Hinch,5,Sports,11,Baseball,ESTJ,E,S,T,J,1974-05-15
93329,"Ivan ""Pudge"" Rodriguez",5,Sports,11,Baseball,ISTJ,I,S,T,J,1971-11-27
95922,Mark Grace,5,Sports,11,Baseball,ESTP,E,S,T,P,1964-06-28
96641,Steve Avery,5,Sports,11,Baseball,ESFP,E,S,F,P,1970-04-14
98625,Tom Glavine,5,Sports,11,Baseball,INTJ,I,N,T,J,1966-03-25
102095,Brian Wilson,5,Sports,11,Baseball,ENFP,E,N,F,P,1948-12-13
105375,Howie Kendrick,5,Sports,11,Baseball,ESFJ,E,S,F,J,1983-07-12
105378,Adam Eaton,5,Sports,11,Baseball,ESFP,E,S,F,P,1988-12-06
105733,Ian Desmond,5,Sports,11,Baseball,ENFJ,E,N,F,J,1985-09-20
106841,Cameron Maybin,5,Sports,11,Baseball,ISFJ,I,S,F,J,1987-04-04
107352,Nelson Cruz,5,Sports,11,Baseball,INFJ,I,N,F,J,
111889,Hideo Nomo,5,Sports,11,Baseball,ISTP,I,S,T,P,1968-08-31
113682,Roger Maris,5,Sports,11,Baseball,INFJ,I,N,F,J,1934-09-10
117463,Jack Morris,5,Sports,11,Baseball,ISTP,I,S,T,P,1812-09-04
121776,Jason Kipnis,5,Sports,11,Baseball,ISFJ,I,S,F,J,1987-04-03
121777,Michael Brantley,5,Sports,11,Baseball,ISTJ,I,S,T,J,1987-05-15
121933,Yoan Moncada,5,Sports,11,Baseball,ISFP,I,S,F,P,1995-05-27
124143,Alex Gordon,5,Sports,11,Baseball,ISTJ,I,S,T,J,1922-09-08
127441,Dan Plesac,5,Sports,11,Baseball,ENFP,E,N,F,P,1962-02-04
129205,Kirby Puckett,5,Sports,11,Baseball,ESFP,E,S,F,P,1960-03-14
143152,Chuck Knoblauch,5,Sports,11,Baseball,ESTP,E,S,T,P,1968-07-07
155759,Marcus Semien,5,Sports,11,Baseball,ENTJ,E,N,T,J,1990-09-17
155760,Matt Olson,5,Sports,11,Baseball,INFP,I,N,F,P,1994-03-29
158455,Walker Buehler,5,Sports,11,Baseball,ISFP,I,S,F,P,1994-07-28
159090,Ozzie Albies,5,Sports,11,Baseball,ENFP,E,N,F,P,1997-01-07
159912,Chris Archer,5,Sports,11,Baseball,ESFJ,E,S,F,J,1956-07-19
160426,Dave Stewart,5,Sports,11,Baseball,ESTJ,E,S,T,J,1952-09-09
163094,Marcus Stroman,5,Sports,11,Baseball,ESFP,E,S,F,P,
163374,Marcell Ozuna,5,Sports,11,Baseball,ISFP,I,S,F,P,1990-11-12
166956,Tyler Glasnow,5,Sports,11,Baseball,ENFP,E,N,F,P,1993-08-23
168459,Mark Kotsay,5,Sports,11,Baseball,ESFP,E,S,F,P,1975-12-02
168528,Gavin Lux,5,Sports,11,Baseball,ESFJ,E,S,F,J,1997-11-23
172445,Yuli Gurriel,5,Sports,11,Baseball,ISFP,I,S,F,P,1984-06-09
178854,Adley Rutschman,5,Sports,11,Baseball,ISFJ,I,S,F,J,1998-02-06
181356,Andre Dawson,5,Sports,11,Baseball,ISTP,I,S,T,P,1954-07-10
181864,Luke Voit,5,Sports,11,Baseball,ISFP,I,S,F,P,1991-02-13
182035,Archie Bradley,5,Sports,11,Baseball,ISFJ,I,S,F,J,1992-08-10
182442,Ian Happ,5,Sports,11,Baseball,ISFJ,I,S,F,J,1994-08-12
182683,Gio Gonzalez,5,Sports,11,Baseball,ESFP,E,S,F,P,1985-09-19
183336,Jeff Francoeur,5,Sports,11,Baseball,ESFJ,E,S,F,J,1984-01-08
183896,Marco Scutaro,5,Sports,11,Baseball,ESFJ,E,S,F,J,1975-10-30
184247,Eric Karros,5,Sports,11,Baseball,ENTP,E,N,T,P,1967-11-04
196727,Hunter Renfroe,5,Sports,11,Baseball,ISTJ,I,S,T,J,1992-01-28
198805,Chaim Bloom,5,Sports,11,Baseball,INTP,I,N,T,P,1983-01-01
200283,Theo Epstein,5,Sports,11,Baseball,INTJ,I,N,T,J,1973-12-29
201372,Matt Harvey,5,Sports,11,Baseball,ISFJ,I,S,F,J,1989-03-27
203598,Joe Carter,5,Sports,11,Baseball,ISFJ,I,S,F,J,1914-10-17
208527,Enrique Hernandez,5,Sports,11,Baseball,ENTP,E,N,T,P,
210642,Michael Morse,5,Sports,11,Baseball,ENFP,E,N,F,P,
212573,Austin Riley,5,Sports,11,Baseball,ESTJ,E,S,T,J,1997-04-02
218527,Eddie Rosario,5,Sports,11,Baseball,ISFP,I,S,F,P,1991-09-28
220763,Cole Tucker,5,Sports,11,Baseball,ESFJ,E,S,F,J,1953-10-23
222255,Amir Garrett,5,Sports,11,Baseball,ESFP,E,S,F,P,1992-05-03
223573,Sean Manaea,5,Sports,11,Baseball,ENFP,E,N,F,P,1992-02-01
224517,Julio Teheran,5,Sports,11,Baseball,INFP,I,N,F,P,1991-01-27
225831,Brian Cashman,5,Sports,11,Baseball,ENTJ,E,N,T,J,1967-07-03
232923,Tony Kemp,5,Sports,11,Baseball,ENFJ,E,N,F,J,1991-10-31
322917,Nathan Eovaldi,5,Sports,11,Baseball,ESTP,E,S,T,P,1990-02-13
361938,Willy Adames,5,Sports,11,Baseball,ESFJ,E,S,F,J,1995-09-02
370238,Coco Crisp,5,Sports,11,Baseball,ESTP,E,S,T,P,1979-11-01
402603,Adam Duvall,5,Sports,11,Baseball,ISTJ,I,S,T,J,1988-09-04
420035,Max Fried,5,Sports,11,Baseball,ISTJ,I,S,T,J,1892-02-04
420603,Lance McCullers Jr.,5,Sports,11,Baseball,ESFJ,E,S,F,J,1993-10-10
424991,Dock Ellis,5,Sports,11,Baseball,ISFP,I,S,F,P,1945-03-11
572428,Jack Suwinski,5,Sports,11,Baseball,ISTP,I,S,T,P,
609275,Harrison Bader,5,Sports,11,Baseball,ESFP,E,S,F,P,1994-06-03
765356,Earl Weaver,5,Sports,11,Baseball,ESTJ,E,S,T,J,1930-08-14
10145,Thurman Munson,5,Sports,11,Baseball,ISTP,I,S,T,P,1947-06-07
57003,Paul Goldschmidt,5,Sports,11,Baseball,ISFJ,I,S,F,J,1874-12-19
57009,Noah Syndergaard,5,Sports,11,Baseball,ISTJ,I,S,T,J,1992-08-29
57639,Larry “Chipper” Jones,5,Sports,11,Baseball,ESTJ,E,S,T,J,
62000,Jonathan Papelbon,5,Sports,11,Baseball,ESTJ,E,S,T,J,1980-11-23
62016,Jason Giambi,5,Sports,11,Baseball,ESFJ,E,S,F,J,1971-01-08
63321,Frank Thomas,5,Sports,11,Baseball,ESFJ,E,S,F,J,1912-05-12
64829,Mo Vaughn,5,Sports,11,Baseball,ESTP,E,S,T,P,1967-12-15
64834,Dave Winfield,5,Sports,11,Baseball,ESFP,E,S,F,P,1988-03-24
65082,Ryan Howard,5,Sports,11,Baseball,ESTJ,E,S,T,J,1979-05-05
65280,Ryan Zimmerman,5,Sports,11,Baseball,ISTJ,I,S,T,J,1984-09-28
65470,Hanley Ramírez,5,Sports,11,Baseball,ESFP,E,S,F,P,1983-12-23
65846,Whitey Ford,5,Sports,11,Baseball,ISTP,I,S,T,P,1969-08-18
65995,Vladimir Guerrero Sr.,5,Sports,11,Baseball,ISTP,I,S,T,P,
66782,Prince Fielder,5,Sports,11,Baseball,ESFP,E,S,F,P,1984-05-09
66950,Cecil Fielder,5,Sports,11,Baseball,ESTJ,E,S,T,J,1963-09-21
67361,Davey Martinez,5,Sports,11,Baseball,ESTJ,E,S,T,J,
67406,Adam Jones,5,Sports,11,Baseball,ESTJ,E,S,T,J,1965-01-15
68411,Roy Halladay,5,Sports,11,Baseball,ISTJ,I,S,T,J,1977-05-14
68668,Orel Hershiser,5,Sports,11,Baseball,INTJ,I,N,T,J,1958-09-16
70063,Adrian Gonzalez,5,Sports,11,Baseball,ISTJ,I,S,T,J,1982-05-08
70065,Vladimir Guerrero Jr.,5,Sports,11,Baseball,ESFP,E,S,F,P,1999-03-16
70907,Brandon Phillips,5,Sports,11,Baseball,ESFP,E,S,F,P,1981-06-28
70909,Chris Carpenter,5,Sports,11,Baseball,ISTJ,I,S,T,J,1950-01-01
70910,Clay Buchholz,5,Sports,11,Baseball,ISTP,I,S,T,P,1984-08-14
70913,Don Mattingly,5,Sports,11,Baseball,ESTJ,E,S,T,J,1961-04-20
70927,Yoenis Céspedes,5,Sports,11,Baseball,ISFP,I,S,F,P,1985-10-18
70928,"Rich ""Goose"" Gossage",5,Sports,11,Baseball,ESTJ,E,S,T,J,
70930,Adam Wainwright,5,Sports,11,Baseball,ESTJ,E,S,T,J,
70961,Jimmy Rollins,5,Sports,11,Baseball,ESTJ,E,S,T,J,1978-11-27
70981,Pablo Sandoval,5,Sports,11,Baseball,ESFP,E,S,F,P,1986-08-11
71025,Matt Carpenter,5,Sports,11,Baseball,ISTJ,I,S,T,J,
71068,Roberto Alomar,5,Sports,11,Baseball,ISFJ,I,S,F,J,1968-02-05
71076,Mike Schmidt,5,Sports,11,Baseball,ESFJ,E,S,F,J,
71540,Ozzie Guillen,5,Sports,11,Baseball,ESFP,E,S,F,P,1964-01-20
71541,Mark Buehrle,5,Sports,11,Baseball,ISTJ,I,S,T,J,1979-03-23
71994,Tony Gwynn,5,Sports,11,Baseball,ESTP,E,S,T,P,1960-05-09
72492,Troy Tulowitzki,5,Sports,11,Baseball,ESFJ,E,S,F,J,1984-10-10
73168,Tris Speaker,5,Sports,11,Baseball,ISTJ,I,S,T,J,1888-04-04
73230,Paul Konerko,5,Sports,11,Baseball,ISTJ,I,S,T,J,1976-03-05
73231,Brian McCann,5,Sports,11,Baseball,ISTJ,I,S,T,J,1984-02-20
73278,Matt Holliday,5,Sports,11,Baseball,ISTJ,I,S,T,J,1980-01-15
73334,Gary Sheffield,5,Sports,11,Baseball,ESTJ,E,S,T,J,1968-11-18
73337,Mike Scioscia,5,Sports,11,Baseball,ISTJ,I,S,T,J,1958-11-27
73340,Cole Hamels,5,Sports,11,Baseball,ISFJ,I,S,F,J,1983-12-27
73348,Billy Wagner,5,Sports,11,Baseball,ESTJ,E,S,T,J,1971-07-25
73564,Sean Doolittle,5,Sports,11,Baseball,ENFP,E,N,F,P,1986-09-26
73595,Dwight “Doc” Gooden,5,Sports,11,Baseball,ESFP,E,S,F,P,
73713,Dellin Betances,5,Sports,11,Baseball,ISFP,I,S,F,P,1988-03-23
73811,Rogers Hornsby,5,Sports,11,Baseball,ISTJ,I,S,T,J,1896-04-27
73815,Ernie Banks,5,Sports,11,Baseball,ISFJ,I,S,F,J,1931-01-31
73819,Josh Gibson,5,Sports,11,Baseball,ISFP,I,S,F,P,1911-12-21
74328,Joba Chamberlain,5,Sports,11,Baseball,ESFP,E,S,F,P,1985-09-23
74331,Asdrubal Cabrera,5,Sports,11,Baseball,ISFP,I,S,F,P,1985-11-13
